policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,qos_mbps,num_ues,shadowing_db
sinr,0.612037037037037,945.4925159462483,0.06848027985591297,0.6926130433636116,0.8685185185185186,7.0,0.9005802000449887,2.0,90,6.0
load_aware,0.6,955.8019725032347,0.05832317979976875,0.7118313205187098,0.8444444444444444,7.0,0.9120057042008912,2.0,90,6.0
ml_gcn,0.7129629629629629,817.4213689938448,0.19465874975975875,0.47264994865746107,0.8435185185185184,5.75,0.978904341173111,2.0,90,6.0
oracle,1.0,615.0735154281882,0.3940162409574501,0.0,0.8333333333333334,4.166666666666667,1.1886691078663782,2.0,90,6.0
oracle,1.0,671.0825925144837,0.33883488422218355,0.0,0.8703703703703703,4.583333333333333,1.073032615722131,4.0,90,6.0
load_aware,0.6546296296296297,952.5842267781023,0.06149337263241151,0.5479086985151517,0.8703703703703703,7.0,0.9093248099427832,4.0,90,6.0
rsrp,0.6592592592592593,945.4925159462483,0.06848027985591297,0.5386073398202967,0.8685185185185186,7.0,0.9005802000449887,4.0,90,6.0
sinr,0.6592592592592593,945.4925159462483,0.06848027985591297,0.5386073398202967,0.8685185185185186,7.0,0.9005802000449887,4.0,90,6.0
ml_gcn,0.7768518518518519,796.1681066414249,0.21559792449120707,0.28211865548141063,0.8435185185185184,5.583333333333333,0.973619624081895,4.0,90,6.0
oracle,1.0,671.3673760782115,0.33855430928255026,0.0,0.8703703703703703,4.583333333333333,1.0739483699189318,6.0,90,6.0
ml_gcn,0.7898148148148149,795.8443002235517,0.21591694559255983,0.2743167635698524,0.8703703703703703,5.583333333333333,0.983156121293706,6.0,90,6.0
load_aware,0.6583333333333333,949.7927509210957,0.06424359515162988,0.5426899548892749,0.8703703703703703,7.0,0.9096286951927018,6.0,90,6.0
rsrp,0.6638888888888889,944.5356502326343,0.06942300469691202,0.5356611544160566,0.8685185185185186,7.0,0.9046094436422605,6.0,90,6.0
sinr,0.6638888888888889,944.5356502326343,0.06942300469691202,0.5356611544160566,0.8685185185185186,7.0,0.9046094436422605,6.0,90,6.0
oracle,1.0,270.26805637459347,0.7337260528329129,0.0,1.0,1.9166666666666667,0.5867501353453113,0.5,30,10.0
ml_gcn,0.18333333333333335,309.3995934991901,0.6951728142865122,0.15073808406849515,1.0,2.1666666666666665,0.7100193563916162,0.5,30,10.0
